customer_id,borrower_type,borrower_age_or_company_age,gender_or_company_entity_type,education_or_company_size,income,employment_experience_or_years_in_business,home_ownership_or_business_premises,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_history_length_years,credit_score,previous_loan_defaults_on_file,loan_status
CUST00084,Individual,22,male,Bachelor,24582,2,RENT,56495,PERSONAL,10.99,0.26,3,462,No,1
CUST00085,Individual,24,female,Associate,37217,1,RENT,25000,EDUCATION,12.95,0.13,2,462,No,1
CUST00086,Corporate,14,Sole Proprietor Business,Small Enterprise,49309,11,Owned Business Premises,25000,Staff Training & Capacity Building,10.17,0.09,11,527,Yes,0
CUST00087,Individual,21,male,High School,29651,0,RENT,25000,MEDICAL,12.98,0.17,2,463,Yes,0
CUST00088,Individual,23,male,Bachelor,61011,4,RENT,59200,EDUCATION,15.68,0.15,2,463,Yes,0
CUST00089,Corporate,21,Private Limited Company,Medium Enterprise,87294,14,Leased Business Premises,23200,Business Expansion,9.72,0.05,17,521,Yes,0
CUST00090,Individual,22,female,Bachelor,79953,0,MORTGAGE,116800,PERSONAL,13.89,0.21,3,463,Yes,0
CUST00091,Corporate,19,Share Company,Micro Enterprise,97202,12,Leased Business Premises,114408,Healthcare Business Financing,11.35,0.11,10,481,Yes,0
CUST00092,Individual,34,female,Bachelor,73259,11,RENT,58500,PERSONAL,10.65,0.12,8,464,Yes,0
CUST00093,Corporate,7,Private Limited Company,Micro Enterprise,41384,5,Owned Business Premises,22500,Working Capital,8.26,0.09,3,536,Yes,0
CUST00094,Corporate,15,Sole Proprietor Business,Medium Enterprise,32223,9,Leased Business Premises,111325,Business Expansion,11.04,0.16,7,457,Yes,0
CUST00095,Individual,22,male,High School,41592,3,RENT,58000,DEBTCONSOLIDATION,9.91,0.19,4,465,Yes,0
CUST00096,Individual,26,female,Associate,70144,2,RENT,59600,EDUCATION,13.99,0.14,4,465,Yes,0
CUST00097,Individual,37,male,Bachelor,66637,14,MORTGAGE,57000,HOMEIMPROVEMENT,6.92,0.11,13,465,Yes,0
CUST00098,Individual,30,female,Bachelor,31658,8,OWN,113595,VENTURE,12.23,0.43,9,465,Yes,0
CUST00099,Corporate,16,Private Limited Company,Medium Enterprise,84881,14,Owned Business Premises,60000,Healthcare Business Financing,10.32,0.06,18,499,Yes,0
CUST00100,Individual,27,male,Associate,81320,7,RENT,112000,DEBTCONSOLIDATION,13.23,0.15,9,466,Yes,0
CUST00101,Individual,22,male,High School,49297,0,MORTGAGE,58100,PERSONAL,7.14,0.16,3,467,Yes,0
CUST00102,Individual,23,female,High School,60373,0,RENT,58000,VENTURE,11.01,0.13,4,467,Yes,0
CUST00103,Individual,22,female,High School,30091,0,RENT,25000,PERSONAL,8.9,0.17,3,467,Yes,0
CUST00104,Corporate,19,Share Company,Medium Enterprise,73017,15,Pledged Business Asset,57000,Premises Improvement,10.63,0.22,18,491,Yes,0
CUST00105,Individual,26,female,Associate,114604,2,RENT,594112,VENTURE,7.24,0.12,4,467,Yes,0
CUST00106,Individual,23,female,High School,39168,0,RENT,23600,PERSONAL,9.63,0.09,3,468,Yes,0
CUST00107,Individual,23,male,Associate,46149,0,RENT,58000,EDUCATION,14.18,0.17,2,468,Yes,0
CUST00108,Individual,21,female,Associate,101692,2,MORTGAGE,591000,DEBTCONSOLIDATION,12.53,0.1,4,468,Yes,0
CUST00109,Individual,24,male,High School,127132,0,MORTGAGE,355600,HOMEIMPROVEMENT,15.23,0.04,4,468,Yes,0
CUST00110,Individual,26,male,Doctorate,130535,4,MORTGAGE,118500,MEDICAL,12.18,0.14,2,468,Yes,0
CUST00111,Corporate,20,PLC,Medium Enterprise,54130,19,Mortgaged Commercial Property,112800,Business Expansion,7.88,0.06,17,456,Yes,0
CUST00112,Individual,24,female,High School,90706,3,MORTGAGE,57000,EDUCATION,11.99,0.08,3,469,Yes,0
CUST00113,Individual,23,male,Bachelor,83749,2,MORTGAGE,22500,PERSONAL,9.64,0.03,3,469,No,1
CUST00114,Individual,25,female,Associate,84844,0,RENT,112000,VENTURE,12.18,0.14,3,469,Yes,0
CUST00115,Individual,22,female,Associate,28130,2,OWN,59000,MEDICAL,5.99,0.32,2,469,Yes,0
CUST00116,Individual,27,male,High School,109207,7,RENT,57500,DEBTCONSOLIDATION,11.01,0.07,6,469,Yes,0
CUST00117,Individual,36,male,High School,96917,18,RENT,56000,HOMEIMPROVEMENT,12.87,0.06,16,469,Yes,0
CUST00118,Corporate,10,Share Company,Micro Enterprise,55250,8,Pledged Business Asset,59044,Staff Training & Capacity Building,9.35,0.13,12,513,Yes,0
CUST00119,Corporate,22,Partnership,Medium Enterprise,114831,16,Owned Business Premises,56468,Staff Training & Capacity Building,12.05,0.15,18,472,Yes,0
CUST00120,Individual,21,male,Associate,108795,0,MORTGAGE,21500,EDUCATION,10.75,0.01,4,470,Yes,0
CUST00121,Corporate,24,Sole Proprietor Business,Micro Enterprise,113069,18,Owned Business Premises,170000,Debt Restructuring,13.32,0.18,20,479,Yes,0
CUST00122,Individual,31,female,High School,44061,7,RENT,23000,DEBTCONSOLIDATION,9.91,0.07,7,470,Yes,0
CUST00123,Corporate,23,Share Company,Small Enterprise,79373,16,Mortgaged Commercial Property,112000,Premises Improvement,10.27,0.08,16,491,Yes,0
CUST00124,Individual,34,female,High School,137684,11,MORTGAGE,235000,MEDICAL,18.64,0.25,10,470,No,1
CUST00125,Individual,37,male,High School,48132,14,RENT,24000,EDUCATION,14.65,0.08,15,470,No,1
CUST00126,Corporate,13,Share Company,Small Enterprise,51451,10,Owned Business Premises,112000,Working Capital,10.01,0.07,10,462,Yes,0
CUST00127,Corporate,15,Share Company,Large Corporate,75111,10,Owned Business Premises,118300,Healthcare Business Financing,14.38,0.05,12,406,Yes,1
CUST00128,Corporate,20,Share Company,Small Enterprise,51931,13,Owned Business Premises,22500,Debt Restructuring,12.48,0.13,11,492,Yes,0
CUST00129,Individual,27,female,High School,59597,3,RENT,112000,VENTURE,12.53,0.2,6,471,Yes,0
CUST00130,Individual,27,female,Associate,84778,4,RENT,112000,VENTURE,10.99,0.14,8,471,Yes,0
CUST00131,Individual,23,female,Bachelor,40232,0,RENT,23725,DEBTCONSOLIDATION,6.54,0.09,2,472,Yes,0
CUST00132,Corporate,12,Private Limited Company,Small Enterprise,46958,6,Leased Business Premises,60000,Debt Restructuring,7.91,0.12,10,537,Yes,0
CUST00133,Individual,21,male,Master,34420,0,RENT,57500,EDUCATION,6.76,0.22,4,472,Yes,0
CUST00134,Individual,23,female,High School,90996,1,MORTGAGE,112000,EDUCATION,9.62,0.13,2,472,Yes,0
CUST00135,Individual,25,male,High School,132915,1,MORTGAGE,21200,VENTURE,13.49,0.01,4,472,Yes,0
CUST00136,Individual,31,female,Associate,48762,13,MORTGAGE,24625,DEBTCONSOLIDATION,12.42,0.09,5,472,Yes,0
CUST00137,Corporate,26,Partnership,Medium Enterprise,144663,23,Leased Business Premises,56000,Staff Training & Capacity Building,12.03,0.12,23,470,Yes,0
CUST00138,Corporate,16,Partnership,Medium Enterprise,37184,14,Owned Business Premises,23200,Healthcare Business Financing,10.47,0.11,12,514,Yes,0
CUST00139,Corporate,18,Share Company,Micro Enterprise,65900,11,Owned Business Premises,56000,Debt Restructuring,14.15,0.22,10,419,Yes,1
CUST00140,Individual,21,female,Associate,34680,0,RENT,24000,EDUCATION,15.23,0.12,2,473,Yes,0
CUST00141,Individual,29,female,Associate,22773,6,RENT,23000,HOMEIMPROVEMENT,12.69,0.13,8,473,No,1
CUST00142,Corporate,11,Share Company,Small Enterprise,77447,10,Leased Business Premises,56000,Healthcare Business Financing,10.7,0.05,10,515,Yes,0
CUST00143,Individual,28,female,Associate,114736,7,MORTGAGE,115000,VENTURE,9.91,0.13,7,473,Yes,0
CUST00144,Individual,37,female,High School,9850,15,RENT,21000,VENTURE,11.14,0.1,13,473,Yes,0
CUST00145,Individual,27,male,High School,76405,4,MORTGAGE,175000,EDUCATION,12.79,0.33,5,474,Yes,0
CUST00146,Corporate,10,Private Limited Company,Medium Enterprise,44197,9,Leased Business Premises,25000,Staff Training & Capacity Building,9.78,0.15,9,516,Yes,0
CUST00147,Individual,22,male,Bachelor,40665,0,RENT,24800,MEDICAL,7.49,0.12,4,475,Yes,0
CUST00148,Individual,22,female,Bachelor,36578,2,RENT,25000,EDUCATION,11.12,0.14,3,475,No,1
CUST00149,Individual,26,female,High School,66249,1,OWN,174250,HOMEIMPROVEMENT,12.18,0.37,4,475,Yes,0
CUST00150,Individual,26,male,Master,55192,5,RENT,115000,DEBTCONSOLIDATION,7.29,0.27,4,475,No,1
CUST00151,Individual,34,female,Associate,217034,9,MORTGAGE,112900,EDUCATION,12.99,0.06,7,475,Yes,0
CUST00152,Individual,27,female,High School,90865,6,MORTGAGE,23500,PERSONAL,6.03,0.04,10,475,Yes,0
CUST00153,Individual,29,male,Master,34292,8,RENT,60000,MEDICAL,12.84,0.29,7,475,No,1
CUST00154,Individual,27,female,High School,37034,5,RENT,113000,DEBTCONSOLIDATION,7.88,0.35,8,475,No,1
CUST00155,Individual,40,male,Associate,85083,20,MORTGAGE,114000,EDUCATION,9.99,0.16,14,475,Yes,0
CUST00156,Corporate,18,Private Limited Company,Medium Enterprise,42404,13,Pledged Business Asset,24000,Business Expansion,10.66,0.09,15,532,Yes,0
CUST00157,Individual,23,male,Master,36879,0,RENT,25000,EDUCATION,6.78,0.14,3,475,Yes,0
CUST00158,Individual,22,male,Bachelor,132669,0,RENT,170000,EDUCATION,14.17,0.15,3,476,Yes,0
CUST00159,Individual,22,male,Associate,36965,0,MORTGAGE,25400,EDUCATION,12.84,0.15,4,476,Yes,0
CUST00160,Individual,25,male,High School,53822,4,RENT,56375,EDUCATION,11.01,0.12,2,476,Yes,0
CUST00161,Individual,22,male,High School,51551,2,RENT,60000,EDUCATION,13.49,0.19,4,476,Yes,0
CUST00162,Individual,22,male,Associate,86335,0,MORTGAGE,23200,DEBTCONSOLIDATION,10.25,0.04,3,476,No,1
CUST00163,Corporate,10,Sole Proprietor Business,Medium Enterprise,116099,6,Owned Business Premises,111400,Staff Training & Capacity Building,11.16,0.15,7,479,Yes,0
CUST00164,Individual,24,male,High School,68632,3,RENT,170000,MEDICAL,14.74,0.29,4,476,No,1
CUST00165,Individual,27,female,Bachelor,21231,1,RENT,56500,DEBTCONSOLIDATION,11.99,0.31,8,476,No,1
CUST00166,Individual,39,male,High School,55190,18,MORTGAGE,112000,DEBTCONSOLIDATION,14.72,0.22,15,476,Yes,0
CUST00167,Individual,22,female,High School,49224,3,RENT,60000,EDUCATION,6.74,0.2,3,476,Yes,0
CUST00168,Individual,32,male,High School,127937,7,MORTGAGE,115000,DEBTCONSOLIDATION,13.41,0.12,7,476,Yes,0
CUST00169,Individual,22,female,Bachelor,36519,0,RENT,25000,EDUCATION,13.26,0.14,4,476,Yes,0
CUST00170,Corporate,20,PLC,Medium Enterprise,72730,16,Pledged Business Asset,58000,Staff Training & Capacity Building,10.71,0.1,14,546,Yes,0
CUST00171,Corporate,15,Share Company,Small Enterprise,69434,11,Pledged Business Asset,56173,Healthcare Business Financing,14.87,0.15,14,439,Yes,1
CUST00172,Corporate,19,Sole Proprietor Business,Medium Enterprise,89914,12,Leased Business Premises,170000,Working Capital,12.23,0.05,15,468,Yes,1
CUST00173,Individual,23,male,High School,27887,0,OWN,56000,PERSONAL,13.23,0.22,4,477,Yes,0
CUST00174,Individual,24,male,Bachelor,27730,0,MORTGAGE,58000,PERSONAL,5.42,0.29,4,477,Yes,0
CUST00175,Individual,24,male,High School,55118,4,RENT,21300,MEDICAL,13.61,0.02,4,477,Yes,0
CUST00176,Corporate,16,Private Limited Company,Small Enterprise,49463,9,Pledged Business Asset,56000,Healthcare Business Financing,11.06,0.12,7,472,Yes,0
CUST00177,Individual,23,male,High School,90614,0,RENT,56000,PERSONAL,13.98,0.07,2,477,Yes,0
CUST00178,Individual,25,female,Associate,105272,4,MORTGAGE,113000,VENTURE,11.26,0.12,4,477,Yes,0
CUST00179,Corporate,21,PLC,Medium Enterprise,83821,14,Leased Business Premises,58650,Staff Training & Capacity Building,9.25,0.12,16,497,Yes,0
CUST00180,Individual,27,female,High School,85280,4,RENT,23700,HOMEIMPROVEMENT,11.01,0.04,5,477,No,1
CUST00181,Individual,29,male,High School,62615,7,RENT,25500,MEDICAL,11.89,0.09,9,477,Yes,0
CUST00182,Individual,32,female,Associate,66452,11,RENT,58000,HOMEIMPROVEMENT,11.01,0.12,8,477,Yes,0
CUST00183,Individual,27,male,Associate,108839,5,RENT,60000,EDUCATION,10,0.09,5,477,Yes,0
CUST00184,Corporate,17,Private Limited Company,Large Corporate,173681,10,Leased Business Premises,235000,Staff Training & Capacity Building,10.84,0.06,9,475,Yes,0
CUST00185,Individual,30,male,Bachelor,72786,9,OWN,170000,EDUCATION,6.17,0.27,9,477,Yes,0
CUST00186,Individual,26,male,Master,132859,4,MORTGAGE,116000,VENTURE,9.79,0.12,5,477,Yes,0
CUST00187,Individual,27,female,Bachelor,64133,4,MORTGAGE,58000,DEBTCONSOLIDATION,14.22,0.12,10,477,Yes,0
CUST00188,Individual,27,male,Associate,132731,4,MORTGAGE,116000,DEBTCONSOLIDATION,14.61,0.12,7,477,Yes,0
CUST00189,Individual,22,male,Associate,46188,0,RENT,112000,EDUCATION,10.29,0.26,4,477,No,1
CUST00190,Individual,23,male,Associate,44108,3,RENT,23000,HOMEIMPROVEMENT,11.35,0.07,4,477,No,1
CUST00191,Corporate,16,PLC,Medium Enterprise,150668,10,Owned Business Premises,25000,Debt Restructuring,12.76,0.07,10,399,Yes,1
CUST00192,Individual,24,female,Associate,54640,1,MORTGAGE,21275,EDUCATION,11.36,0.02,4,478,Yes,0
CUST00193,Corporate,19,Private Limited Company,Large Corporate,32675,12,Leased Business Premises,25000,Staff Training & Capacity Building,10.8,0.1,11,489,Yes,0
CUST00194,Individual,22,female,High School,44100,0,RENT,59000,EDUCATION,11.01,0.2,2,478,Yes,0
CUST00195,Individual,23,female,Master,153656,0,OWN,111000,EDUCATION,10,0.07,2,478,Yes,0
CUST00196,Corporate,11,Sole Proprietor Business,Medium Enterprise,104761,7,Leased Business Premises,114000,Working Capital,11.35,0.06,11,479,Yes,0
CUST00197,Individual,28,female,Associate,63422,3,RENT,25000,PERSONAL,12.28,0.08,9,478,Yes,0
CUST00198,Corporate,20,Private Limited Company,Small Enterprise,12979,13,Owned Business Premises,25365,Premises Improvement,10.95,0.1,12,461,Yes,1
CUST00199,Individual,25,female,Bachelor,44397,5,MORTGAGE,59000,DEBTCONSOLIDATION,7.14,0.2,4,479,Yes,0
CUST00200,Individual,21,male,Bachelor,50455,0,OWN,58000,PERSONAL,11.48,0.16,3,479,Yes,0
CUST00201,Individual,24,male,High School,115914,1,MORTGAGE,56000,HOMEIMPROVEMENT,13.92,0.05,4,479,Yes,0
CUST00202,Individual,35,female,High School,262431,13,RENT,57000,DEBTCONSOLIDATION,14.11,0.03,9,479,No,1
CUST00203,Corporate,17,Private Limited Company,Small Enterprise,87318,14,Leased Business Premises,170000,Healthcare Business Financing,9.72,0.12,13,497,Yes,0
CUST00204,Corporate,18,PLC,Medium Enterprise,72983,14,Leased Business Premises,115000,Premises Improvement,9.18,0.07,15,551,Yes,0
CUST00205,Corporate,19,Private Limited Company,Small Enterprise,90795,18,Pledged Business Asset,112000,Premises Improvement,11.94,0.06,20,517,Yes,0
CUST00206,Corporate,26,Sole Proprietor Business,Medium Enterprise,103153,20,Mortgaged Commercial Property,112000,Premises Improvement,9.18,0.16,24,489,Yes,0
CUST00207,Corporate,10,PLC,Micro Enterprise,41815,9,Owned Business Premises,57500,Debt Restructuring,13.3,0.11,13,389,Yes,1
CUST00208,Individual,26,male,High School,39425,4,MORTGAGE,115000,MEDICAL,15.33,0.38,3,480,No,1
CUST00209,Individual,22,male,High School,51510,0,MORTGAGE,22500,PERSONAL,6.91,0.05,3,480,Yes,0
CUST00210,Individual,26,male,Master,103040,5,MORTGAGE,115000,HOMEIMPROVEMENT,12.73,0.15,4,480,Yes,0
CUST00211,Individual,26,female,Associate,96631,4,RENT,114000,EDUCATION,11.01,0.14,2,480,Yes,0
CUST00212,Individual,23,female,Master,131826,0,MORTGAGE,57500,EDUCATION,8.9,0.06,4,480,Yes,0
CUST00213,Individual,24,male,Associate,78149,0,RENT,25000,EDUCATION,11.86,0.06,4,480,Yes,0
CUST00214,Individual,30,female,High School,14047,10,OWN,22400,EDUCATION,9.99,0.17,7,480,No,1
CUST00215,Individual,27,female,Associate,190020,6,OWN,175000,MEDICAL,12.87,0.13,6,480,Yes,0
CUST00216,Individual,25,male,Associate,37005,5,MORTGAGE,23000,DEBTCONSOLIDATION,6.12,0.08,5,480,Yes,0
CUST00217,Individual,25,female,Master,49007,3,RENT,25000,DEBTCONSOLIDATION,12.42,0.1,3,480,Yes,0
CUST00218,Corporate,33,Private Limited Company,Large Corporate,128402,31,Owned Business Premises,111500,Staff Training & Capacity Building,11.41,0.14,33,472,Yes,0
